DATE,AIRTMAX,AIRTMIN,RAIN
1951-04-26,21.01999953,12.97999971,1.200000018
1951-04-27,21.71999951,12.22999973,0
1951-04-28,23.05999948,11.31999975,0
1951-04-29,21.55999952,12.22999973,6.000000089
1951-04-30,18.33999959,13.12999971,3.100000046
1951-05-01,20.10999955,10.72999976,0
1951-05-02,19.40999957,8.839999802,0.300000004
1951-05-03,18.63999958,8.9399998,1.400000021
1951-05-04,18.64999958,8.9299998,2.70000004
1951-05-05,19.20999957,11.36999975,3.800000057
1951-05-06,18.97999958,11.44999974,2.200000033
1951-05-07,18.23999959,9.629999785,0
1951-05-08,16.89999962,10.11999977,0
1951-05-09,16.71999963,8.51999981,0
1951-05-10,18.57999958,6.809999848,0
1951-05-11,21.55999952,8.51999981,0
1951-05-12,22.2699995,9.939999778,0
1951-05-13,24.26999946,9.749999782,0
1951-05-14,25.83999942,10.30999977,0
1951-05-15,26.38999941,11.52999974,0
1951-05-16,27.24999939,12.91999971,0
1951-05-17,21.36999952,13.06999971,0
1951-05-18,20.87999953,11.77999974,0
1951-05-19,18.91999958,9.789999781,0
1951-05-20,19.94999955,11.32999975,2.300000034
1951-05-21,21.56999952,14.87999967,0.70000001
1951-05-22,23.68999947,14.31999968,0.200000003
1951-05-23,23.83999947,14.11999968,0.200000003
1951-05-24,22.98999949,13.81999969,0
1951-05-25,18.99999958,12.41999972,0.900000013
1951-05-26,19.32999957,11.32999975,0.800000012
1951-05-27,20.43999954,10.37999977,0
1951-05-28,21.48999952,12.07999973,2.00000003
1951-05-29,20.90999953,12.84999971,0
1951-05-30,19.82999956,10.37999977,0
1951-05-31,22.87999949,10.53999976,0
1951-06-01,26.44999941,11.34999975,0
1951-06-02,24.09999946,11.61999974,0
1951-06-03,22.5799995,15.52999965,4.70000007
1951-06-04,22.86999949,14.66999967,5.300000079
1951-06-05,23.36999948,14.91999967,0
1951-06-06,22.4199995,14.02999969,20.60000031
1951-06-07,22.4099995,14.38999968,4.100000061
